,Station,BCI,DateTimeOriginal,Date,Time,Species,Month,TimeStamp
436,B14,3,7/11/2018 21:30,7/11/2018,21:30:03,Deer - Doe,7,7/11/2018 21:30
437,B14,3,7/11/2018 22:04,7/11/2018,22:04:58,Deer - Doe,7,7/11/2018 22:04
438,B14,4,7/11/2018 9:52,7/11/2018,9:52:22,Deer - Doe,7,7/11/2018 9:52
439,B14,4,7/11/2018 10:09,7/11/2018,10:09:33,Deer - Doe,7,7/11/2018 10:09
440,B14,4,7/11/2018 10:41,7/11/2018,10:41:08,Deer - Doe,7,7/11/2018 10:41
441,B14,4,7/11/2018 23:17,7/11/2018,23:17:47,Deer - Doe,7,7/11/2018 23:17
442,B14,3,7/12/2018 21:07,7/12/2018,21:07:02,Deer - Buck,7,7/12/2018 21:07
443,B14,4,7/12/2018 21:07,7/12/2018,21:07:22,Deer - Buck,7,7/12/2018 21:07
444,B14,2,7/12/2018 20:55,7/12/2018,20:55:47,Deer - Doe,7,7/12/2018 20:55
445,B14,3,7/12/2018 8:56,7/12/2018,8:56:48,Deer - Doe,7,7/12/2018 8:56
446,B14,3,7/12/2018 9:22,7/12/2018,9:22:35,Deer - Doe,7,7/12/2018 9:22
447,B14,3,7/12/2018 10:30,7/12/2018,10:30:24,Deer - Doe,7,7/12/2018 10:30
448,B14,3,7/12/2018 21:06,7/12/2018,21:06:52,Deer - Doe,7,7/12/2018 21:06
449,B14,4,7/12/2018 2:53,7/12/2018,2:53:21,Deer - Doe,7,7/12/2018 2:53
450,B14,4,7/12/2018 8:59,7/12/2018,8:59:12,Deer - Doe,7,7/12/2018 8:59
451,B14,4,7/12/2018 17:16,7/12/2018,17:16:12,Deer - Doe,7,7/12/2018 17:16
452,B14,4,7/12/2018 20:57,7/12/2018,20:57:17,Deer - Doe,7,7/12/2018 20:57
453,B14,3,7/13/2018 8:15,7/13/2018,8:15:38,Deer - Buck,7,7/13/2018 8:15
454,B14,3,7/13/2018 22:10,7/13/2018,22:10:43,Deer - Buck,7,7/13/2018 22:10
455,B14,4,7/13/2018 2:43,7/13/2018,2:43:54,Deer - Buck,7,7/13/2018 2:43
456,B14,4,7/13/2018 22:10,7/13/2018,22:10:44,Deer - Buck,7,7/13/2018 22:10
457,B14,3,7/13/2018 0:16,7/13/2018,0:16:05,Deer - Doe,7,7/13/2018 0:16
458,B14,3,7/13/2018 2:14,7/13/2018,2:14:40,Deer - Doe,7,7/13/2018 2:14
459,B14,3,7/13/2018 13:26,7/13/2018,13:26:37,Deer - Doe,7,7/13/2018 13:26
460,B14,3,7/13/2018 19:52,7/13/2018,19:52:37,Deer - Doe,7,7/13/2018 19:52
461,B14,3,7/13/2018 21:17,7/13/2018,21:17:07,Deer - Doe,7,7/13/2018 21:17
462,B14,3,7/13/2018 21:35,7/13/2018,21:35:38,Deer - Doe,7,7/13/2018 21:35
463,B14,4,7/13/2018 8:18,7/13/2018,8:18:57,Deer - Doe,7,7/13/2018 8:18
464,B14,4,7/13/2018 11:24,7/13/2018,11:24:20,Deer - Doe,7,7/13/2018 11:24
465,B14,4,7/13/2018 21:26,7/13/2018,21:26:29,Deer - Doe,7,7/13/2018 21:26
466,B14,4,7/13/2018 22:25,7/13/2018,22:25:57,Deer - Doe,7,7/13/2018 22:25
467,E15,3,7/13/2018 22:05,7/13/2018,22:05:10,Deer - Doe,7,7/13/2018 22:05
468,B14,2,7/14/2018 22:21,7/14/2018,22:21:29,Deer - Buck,7,7/14/2018 22:21
469,B14,4,7/14/2018 21:22,7/14/2018,21:22:11,Deer - Buck,7,7/14/2018 21:22
470,B14,2,7/14/2018 11:05,7/14/2018,11:05:08,Deer - Doe,7,7/14/2018 11:05
471,B14,2,7/14/2018 22:08,7/14/2018,22:08:39,Deer - Doe,7,7/14/2018 22:08
472,B14,3,7/14/2018 21:56,7/14/2018,21:56:54,Deer - Doe,7,7/14/2018 21:56
473,B14,3,7/14/2018 22:12,7/14/2018,22:12:28,Deer - Doe,7,7/14/2018 22:12
474,B14,4,7/14/2018 2:34,7/14/2018,2:34:39,Deer - Doe,7,7/14/2018 2:34
475,B14,4,7/14/2018 6:13,7/14/2018,6:13:58,Deer - Doe,7,7/14/2018 6:13
476,B14,4,7/14/2018 11:08,7/14/2018,11:08:15,Deer - Doe,7,7/14/2018 11:08
477,B14,4,7/14/2018 12:49,7/14/2018,12:49:10,Deer - Doe,7,7/14/2018 12:49
478,B14,4,7/14/2018 21:51,7/14/2018,21:51:01,Deer - Doe,7,7/14/2018 21:51
479,B14,4,7/14/2018 22:06,7/14/2018,22:06:12,Deer - Doe,7,7/14/2018 22:06
480,C17,3,7/14/2018 9:35,7/14/2018,9:35:53,Deer - Doe,7,7/14/2018 9:35
481,B14,3,7/15/2018 21:31,7/15/2018,21:31:58,Deer - Buck,7,7/15/2018 21:31
482,B14,4,7/15/2018 14:18,7/15/2018,14:18:26,Deer - Buck,7,7/15/2018 14:18
483,B14,4,7/15/2018 14:35,7/15/2018,14:35:52,Deer - Buck,7,7/15/2018 14:35
484,B14,4,7/15/2018 21:34,7/15/2018,21:34:10,Deer - Buck,7,7/15/2018 21:34
485,B14,2,7/15/2018 11:32,7/15/2018,11:32:47,Deer - Doe,7,7/15/2018 11:32
486,B14,3,7/15/2018 11:35,7/15/2018,11:35:01,Deer - Doe,7,7/15/2018 11:35
487,B14,3,7/15/2018 14:37,7/15/2018,14:37:10,Deer - Doe,7,7/15/2018 14:37
488,B14,3,7/15/2018 15:27,7/15/2018,15:27:12,Deer - Doe,7,7/15/2018 15:27
489,B14,3,7/15/2018 20:55,7/15/2018,20:55:03,Deer - Doe,7,7/15/2018 20:55
490,B14,4,7/15/2018 12:33,7/15/2018,12:33:51,Deer - Doe,7,7/15/2018 12:33
491,D14,4,7/15/2018 21:45,7/15/2018,21:45:48,Deer - Doe,7,7/15/2018 21:45
492,E15,3,7/15/2018 1:55,7/15/2018,1:55:19,Deer - Doe,7,7/15/2018 1:55
493,B14,2,7/16/2018 7:42,7/16/2018,7:42:32,Deer - Buck,7,7/16/2018 7:42
494,B14,3,7/16/2018 19:18,7/16/2018,19:18:16,Deer - Buck,7,7/16/2018 19:18
495,B14,4,7/16/2018 19:22,7/16/2018,19:22:35,Deer - Buck,7,7/16/2018 19:22
496,B14,2,7/16/2018 7:45,7/16/2018,7:45:56,Deer - Doe,7,7/16/2018 7:45
497,B14,3,7/16/2018 2:38,7/16/2018,2:38:30,Deer - Doe,7,7/16/2018 2:38
498,B14,3,7/16/2018 7:14,7/16/2018,7:14:37,Deer - Doe,7,7/16/2018 7:14
499,B14,3,7/16/2018 13:11,7/16/2018,13:11:02,Deer - Doe,7,7/16/2018 13:11
500,B14,3,7/16/2018 19:24,7/16/2018,19:24:32,Deer - Doe,7,7/16/2018 19:24
501,B14,3,7/16/2018 20:07,7/16/2018,20:07:53,Deer - Doe,7,7/16/2018 20:07
502,B14,4,7/16/2018 8:17,7/16/2018,8:17:05,Deer - Doe,7,7/16/2018 8:17
503,B14,3,7/17/2018 11:04,7/17/2018,11:04:05,Deer - Buck,7,7/17/2018 11:04
504,B14,4,7/17/2018 11:05,7/17/2018,11:05:08,Deer - Buck,7,7/17/2018 11:05
505,B14,4,7/17/2018 13:01,7/17/2018,13:01:23,Deer - Buck,7,7/17/2018 13:01
